DEBUG 2025-09-21 21:39:04,743 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1758312901.2385607
DEBUG 2025-09-21 21:39:04,747 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/charset_normalizer/version.py first seen with mtime 1758480575.6510303
DEBUG 2025-09-21 21:39:04,749 autoreload File /usr/lib/python3.10/sre_parse.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,756 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/checks/security/sessions.py first seen with mtime 1758312765.5500019
DEBUG 2025-09-21 21:39:04,759 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/pytz/exceptions.py first seen with mtime 1758315237.8425841
DEBUG 2025-09-21 21:39:04,766 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/context.py first seen with mtime 1758312775.538252
DEBUG 2025-09-21 21:39:04,768 autoreload File /usr/lib/python3.10/encodings/__init__.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,770 autoreload File /usr/lib/python3.10/asyncio/transports.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,772 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/charset_normalizer/md__mypyc.cpython-310-x86_64-linux-gnu.so first seen with mtime 1758480575.5343256
DEBUG 2025-09-21 21:39:04,776 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/urllib3/connectionpool.py first seen with mtime 1758480568.8726258
DEBUG 2025-09-21 21:39:04,781 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/__init__.py first seen with mtime 1758312896.3515427
DEBUG 2025-09-21 21:39:04,786 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/drf_yasg/inspectors/view.py first seen with mtime 1758315267.043635
DEBUG 2025-09-21 21:39:04,792 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/migrations/state.py first seen with mtime 1758312769.6804326
DEBUG 2025-09-21 21:39:04,794 autoreload File /usr/lib/python3.10/getpass.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,797 autoreload File /usr/lib/python3.10/bisect.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,799 autoreload File /usr/lib/python3.10/encodings/idna.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,804 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/urllib3/util/ssl_.py first seen with mtime 1758480569.3890953
DEBUG 2025-09-21 21:39:04,810 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/mail/message.py first seen with mtime 1758312766.155008
